Study Name,protocol,position,Age,Gender,Level of Education,Ultrasound Experience,Years of Experience,Race/Ethnicity,Visual Impairment,specify,dominant hand
Obstetrics Exam - 03-May-2024_328_PM,Vertical,OP,19,Female,Technician ,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_334_PM,Horizontal,OP,19,Female,Technician ,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_337_PM,Diagonal /,OP,20,Female,High School,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 03-May-2024_340_PM,Diagonal ,OP,20,Female,High School,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 03-May-2024_342_PM,Vertical,OP,22,Female,High School,1,0,Hispanic,Yes,Myopia,Right-handed
Obstetrics Exam - 03-May-2024_346_PM,Horizontal,OP,22,Female,High School,1,0,Hispanic,Yes,Myopia,Right-handed
Obstetrics Exam - 03-May-2024_348_PM,Diagonal /,OP,19,Female,High School,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 03-May-2024_356_PM,Diagonal ,OP,19,Female,High School,1,0,Hispanic,Yes,Astigmatism and Myopia,Right-handed
Obstetrics Exam - 03-May-2024_358_PM,Vertical,OP,21,Male,High School,2,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_402_PM,Horizontal,OP,21,Male,High School,2,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_902_AM,Horizontal,SP,21,Male,High School,1,0,Hispanic,Yes,Astigmatism,Left-handed
Obstetrics Exam - 03-May-2024_905_AM,Diagonal /,SP,26,Female,High School,1,0,Mayan descendant,No,,Right-handed
Obstetrics Exam - 03-May-2024_910_AM,Diagonal ,SP,26,Male,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_913_AM,Horizontal,SP,25,Female,High School,1,0,Hispanic,Yes,Myopia and Astigmatism,Right-handed
Obstetrics Exam - 03-May-2024_917_AM,Horizontal,OP,24,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_922_AM,Diagonal /,OP,24,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_924_AM,Diagonal ,OP,21,Female,High School,1,0,Hispanic,Yes,Myopia and Astigmatism,Right-handed
Obstetrics Exam - 03-May-2024_927_AM,Vertical,OP,21,Female,High School,1,0,Hispanic,Yes,Myopia and Astigmatism,Right-handed
Obstetrics Exam - 03-May-2024_929_AM,Horizontal,OP,23,Female,High School,1,0,Mayan descendant,Yes,Myopia,Right-handed
Obstetrics Exam - 03-May-2024_933_AM,Diagonal /,OP,23,Female,High School,1,0,Mayan descendant,Yes,Myopia,Right-handed
Obstetrics Exam - 03-May-2024_936_AM,Diagonal ,OP,22,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_939_AM,Vertical,OP,22,Female,High School,1,0,Hispanic,No,,Right-handed
Obstetrics Exam - 03-May-2024_942_AM,Horizontal,OP,23,Female,High School,1,0,Hispanic,No,,Left-handed
Obstetrics Exam - 03-May-2024_947_AM,Diagonal /,OP,23,Female,High School,1,0,Hispanic,No,,Left-handed
